"running_HR_25p","running_HR_max","running_HR_75p","running_HR_mean","training_RPE","daily_wellness_sleep","daily_wellness_fatigue","daily_wellness_stress","daily_wellness_soreness","daily_wellness_mood","daily_HRrest","training_daypart_evening","training_daypart_morning","training_session_Ext interval","training_session_Ext tempo","training_session_Fartlek","training_session_Int endurance","training_session_Int interval","training_session_Int tempo","readiness_notready","TRIMP","SHRZ","wellness","HRR"
152,158,154,146.687719298246,"4",3.5,3,3.5,3.5,3.5,56,1,0,0,0,0,0,0,0,0,4857.80830409358,70.7704422347749,3.4,102
151,159,154,147.53733702094,"4",2.5,2.5,3.5,3,3,52,0,1,0,0,0,1,0,0,0,18483.9693731068,266.598404988869,2.9,107
176,191,178,171.924018573238,"7",4.5,4,4,3,4,54,0,1,0,0,0,0,0,1,0,6736.55612776137,86.4914695926191,3.9,137
159,163,160,151.561172901921,"4",2,2,2.5,3,4,55,0,0,0,0,0,1,0,0,0,7148.63532187394,100.232833851664,2.7,108
160,180,164,149.987643979058,"4",4,3.5,3.5,3,4,55,0,1,0,0,0,1,0,0,0,11506.5520872601,191.816614983633,3.6,125
153,160.7048,155,148.135455469015,"3",3,2.5,3,2,3,56,0,0,0,0,0,0,0,0,0,7184.56959024723,104.72132873153,2.7,104.7048
157,165.3403,158,151.307668990603,"3",3,3,3,3,3,58,0,1,0,0,0,0,0,0,0,16089.0488026675,232.417322655269,3,107.3403
156,164,158,152.895845030882,"4",3,3,3,3,3.5,57,1,0,0,0,0,0,0,0,0,9056.53055399591,125.575166085545,3.1,107
164,170,166,159.33826146475,"5",3.5,3,3.5,2.5,3.5,59,0,1,0,0,0,1,0,0,0,19064.8229842573,251.491152344363,3.2,111
153,161,156,148.746564046179,"5",3.5,2.5,3,2.5,3.5,59,1,0,0,0,0,1,0,0,0,4489.66712479384,65.1783169881594,3,102
162,167,163,156.050653802209,"4",3,2.5,3,3,3,62,0,1,0,0,0,0,0,0,0,20003.0929732132,271.902150236827,2.9,105
163,172,166,156.113066202091,"5",3,2,2,3,3,66,0,1,0,0,0,1,0,0,0,14867.1676713125,212.843643454763,2.6,106
155,169,160,146.805221932115,"4",2,2,3,3,3.5,57,1,0,0,0,0,0,0,0,0,4599.89695387294,74.2466104963647,2.7,112
158,171,160,154.401795735129,"4",2.5,2.5,3,3,3,60,0,0,0,0,0,1,0,0,0,4559.99970071081,65.9794652368271,2.8,111
158,179,160,148.919853674759,"4",3.5,2.5,2.5,2.5,3,60,0,0,0,0,0,1,0,0,0,7259.8428666445,123.958537317396,2.8,119
162,175,167,150.825986968187,"4",3.5,3.5,3.5,3.5,3.5,62,0,1,0,0,0,0,0,0,0,19428.900887952,311.360889727447,3.5,113
170,174,172,159.676602924634,"6",4,3.5,3.5,3.5,3.5,59,0,0,0,1,0,0,0,0,0,4702.47595613047,63.9157938693768,3.6,115
163,169,165,158.778216704289,"4",4,3.5,2.5,3,3,60,1,0,0,0,0,1,0,0,0,4665.43326749436,61.6055698955447,3.2,109
162,168.8324,164,157.285032796661,"4",2.5,2.5,3,2.5,3,61,0,0,0,0,0,1,0,0,0,4338.44548797457,58.6936120722733,2.7,107.8324
162,171.5641,164,154.984174311927,"5",3.5,2.5,3,3,3,63,0,0,0,0,0,1,0,0,0,11003.8763761468,159.215399817978,3,108.5641
163,173,166,157.683142559833,"6",3.5,2.5,3,2.5,3,60,0,0,0,1,0,0,0,0,0,5051.11666666665,70.4067916575679,2.9,113
158,181,162,153.850217706821,"4",2.5,2.5,2,2,3,62,0,0,0,0,0,0,0,0,1,8664.33142718914,138.630028880027,2.4,119
160,180,164,152.414842300557,"6",2,1.5,2,2.5,2.5,61,0,0,0,0,0,1,0,0,1,6800.24221397652,110.352193139121,2.1,119
143,161,147,139.182762836186,"4",2.5,2,3,2.5,3,62,0,0,0,0,0,0,0,0,0,3716.17976772617,65.0698396306356,2.6,99
156,169,158,146.494217687075,"5",3,2.5,3,2.5,3,59,0,1,0,0,0,1,0,0,0,7124.50212018141,116.171867528661,2.8,110
153,168,158,142.856102003643,"4",2,2,2.5,2,3,58,0,1,0,0,0,1,0,0,0,3921.4,67.6091626239643,2.3,110
151,174,156,144.855504587156,"4",2,2,3,3,3,58,0,0,0,0,0,0,0,0,0,5168.92725535168,90.5481662221518,2.6,116
150,167,152,141.306787330317,"4",3,2.5,4,4,4,59,1,0,0,0,0,0,0,0,0,5127.08126696834,90.458396463952,3.5,108
